What is your sex?,What is your year?,What is your course?,What was your GWA in the previous semester at PLM?,What was your Senior High School strand?,What was your first choice upon applying to PLM?2,What was your second choice upon applying to PLM?3,What was your third choice upon applying to PLM?2,I do important decisions on my own,I considered the background of the school in choosing a particular course,I consider the  number of potential job opportunities as an important factor       ,I consider the level of salary offered by potential job opportunities as an important factor,Who decided for you to choose your course?, I find my skills aligned with my current course, I find my  interests aligned with my current course       ,I find my hobbies aligned with my current course,Who inspire or motivated in your choice of course?,I am having the best college experience       ,I find the class size affecting my interest in the course,I find the   class size stimulating in my learning experience,I am in a  group of friends in my current course who shares the same interests with me       2,I can easily get affected/influenced by my friends’ decision       3,How many are you in your section/block?, I find my expectations match with my current course’s curriculum content       , I like my current course       ,                  I can easily learn lessons from the   subjects that I am taking right now              , I feel like the subjects offered in my current course is lacking       ,I had trouble  choosing my course upon applying in PLM       ,I find my  entire educational experience at this course excellent       ,I am satisfied with the set of instructors in my current course       ,I consider my college offering an effective academic advising       , I worry that I am not good/performing   enough for my subjects       ,I experienced  an effective course advising in high school,"If you could start over again, would you choose the same course you are attending now?","If you will be given a chance to shift to a different course, would you grab the opportunity?"
Male,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10-30,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No
Female,Third Year,BSBA_HRM,1.51-2.00,BAM,BSPsy,BSBA_HRM,BSBA_FM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,N/A,N/A,Agree,Disagree,10-30,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Yes,No
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSPsy,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Socioeconomic ,Strongly Agree,N/A,N/A,Agree,Strongly Agree,10-30,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Yes
Female,Third Year,BSBA_HRM,1.00-1.50,STEM,BSPsy,BSPT,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Myself,Strongly Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Agree,Agree,Disagree,10-30,Disagree,Agree,Agree,Agree,N/A,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Yes,No
Male,Third Year,BSIT,2.51-3.00,BAM,BSIT,BSCpE,BSCS,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,10-30,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Yes,No
Male,Third Year,BSBA_HRM,1.51-2.00,TVL,BSBA_HRM,BSBA_BE,BSHM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,10-30,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,No,Yes
Female,Third Year,BSBA_OM,1.51-2.00,BAM,BSPT,BSBA_HRM,BSHM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Strongly Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,10-30,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Yes,No
Male,First Year,BSMfgE,N/A,STEM,BSCE,BSCHE,BSME,Agree,Agree,Agree,Agree,Myself,N/A,N/A,N/A,Friends and/or boyfriend/girlfriend,Agree,Agree,Disagree,Disagree,Disagree,10-30,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSCE,1.00-1.50,STEM,BSCE,BSN,BSPT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Disagree,10-30,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Yes
Male,Second Year,BSREM,1.00-1.50,HESS,BSN,BSME,BSTM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,10-30,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,No,Yes
Male,First Year,BSIT,2.51-3.00,TVL,BSEE,BSIT,BS_Arch,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Myself,Agree,N/A,N/A,Agree,Disagree,10-30,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Third Year,BSBA_HRM,1.00-1.50,HESS,BSPsy,BSBA_HRM,BS_Arch,Agree,Agree,Agree,Agree,Myself,Strongly Agree,Agree,Agree,Myself,Strongly Agree,N/A,N/A,Agree,Agree,10-30,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,No,Yes
Female,First Year,BSMfgE,N/A,STEM,BSECE,BSCpE,BSMfgE,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Professionals,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,10-30,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,No,No
Male,Second Year,BSIT,1.00-1.50,TVL,BSCpE,BSIT,BSCS,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Disagree,Agree,Agree,Agree,10-30,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Yes,No
Male,Third Year,BSCpE,1.00-1.50,STEM,BSCE,BSCpE,BS_Arch,Agree,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Agree,Agree,10-30,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,No
Female,Second Year,BSCHE,1.00-1.50,STEM,BSCHE,BSCE,BSChem,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Agree,Agree,10-30,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Yes,No
Female,Second Year,BSIT,1.51-2.00,STEM,BSECE,BSEE,BSPsy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Institution,Agree,Disagree,Disagree,Myself,Strongly Disagree,Disagree,Agree,Disagree,Disagree,10-30,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Male,Third Year,BSCpE,1.00-1.50,TVL,BSA,BSBA_MM,BSIT,Agree,Agree,Agree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Myself,Strongly Disagree,Disagree,Disagree,Agree,Agree,10-30,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSIT,2.51-3.00,TVL,BS_Arch,BSIT,BAC,Strongly Agree,Agree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Disagree,Agree,Disagree,10-30,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,Yes
Male,Third Year,BSBA_HRM,1.00-1.50,HESS,BSPsy,BSBA_HRM,BPA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Agree,Family,Strongly Agree,Agree,Agree,Strongly Agree,Agree,10-30,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,No,No
Male,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCpE,BSCS,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,10-30,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,N/A,Strongly Agree,Yes,Yes
Male,Third Year,BSIT,2.51-3.00,STEM,BSBio,BSEE,BSECE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Agree,Family,Agree,Agree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,No,Yes
Male,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCpE,BS_Arch,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Agree,Strongly Agree,Agree,10-30,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,No
Male,Third Year,BSIT,1.00-1.50,TVL,BSCE,BSIT,BSBA_HRM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Disagree,Strongly Disagree,Family,Agree,Agree,Agree,Strongly Disagree,Agree,10-30,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Male,Third Year,BSBA_HRM,1.00-1.50,BAM,BSBA_HRM,BSBA_FM,BSBA_MM,Agree,Strongly Agree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Agree,Agree,Disagree,10-30,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Yes,No
Female,Second Year,BSREM,1.00-1.50,BAM,BSBA_OM,BSREM,BSBA_MM,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Disagree,Agree,Agree,Agree,10-30,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Yes,No
Male,Third Year,BSBA_OM,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_OM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Agree,Agree,Agree,Agree,10-30,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Yes,No
Male,Second Year,BSCHE,1.00-1.50,STEM,BSCHE,BSCE,BSChem,Agree,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Agree,Disagree,10-30,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Yes,No
