Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
Male,Third Year,BSBA_HRM,TVL,BSBA_HRM,BSBA_BE,BSHM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,10-30,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,No,Yes
Female,Third Year,BSCE,STEM,BSCE,BSN,BSPT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Disagree,10-30,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Yes
Male,Second Year,BSREM,HESS,BSN,BSME,BSTM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,10-30,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,No,Yes
Female,Second Year,BSIT,STEM,BSECE,BSEE,BSPsy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Institution,Agree,Disagree,Disagree,Myself,Strongly Disagree,Disagree,Agree,Disagree,Disagree,10-30,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Male,Third Year,BSCpE,TVL,BSA,BSBA_MM,BSIT,Agree,Agree,Agree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Myself,Strongly Disagree,Disagree,Disagree,Agree,Agree,10-30,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSIT,TVL,BS_Arch,BSIT,BAC,Strongly Agree,Agree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Disagree,Agree,Disagree,10-30,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,Yes
Male,Third Year,BSIT,STEM,BSBio,BSEE,BSECE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Agree,Family,Agree,Agree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,No,Yes
Male,Third Year,BSIT,TVL,BSCE,BSIT,BSBA_HRM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Disagree,Strongly Disagree,Family,Agree,Agree,Agree,Strongly Disagree,Agree,10-30,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Female,Second Year,BSREM,STEM,BSCE,BSN,BSTM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,10-30,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BSCpE,BS_Arch,Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Disagree,Agree,10-30,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BSCpE,BSCS,Agree,Agree,Agree,Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Male,First Year,BSMfgE,STEM,BSIT,BSN,BSPT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Strongly Disagree,Agree,10-30,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,STEM,BSME,BSEE,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,10-30,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSBA_OM,BAM,BSA,BSME,BSEd_Math,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,10-30,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,Yes
