sex,year,gwa,strand,current_course,first_choice,second_choice,third_choice,quality_instruction1,quality_instruction2,quality_instruction3,quality_instruction4,course_content1,academic_advising1,academic_advising2,college_experience1,college_experience2,interest_subject1,preparation_career1,preparation_career2,class_size1,class_size2,class_size3,failing_major1,academic_placement1,academic_placement2,personality_traits1,personality_traits2,personality_traits3,values1,values2,social_behavior1,social_behavior2,social_behavior3,social_behavior4,same_course,different_course
Female,Third Year,1.00-1.50,STEM,BSIT,BSCpE,BSCS,BSIT,Disagree,Disagree,N/A,Agree,Agree,Agree,N/A,Agree,N/A,Agree,Agree,Agree,Agree,Agree,31-50,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Family,Family,Agree,Agree,Yes,No
Female,Third Year,1.51-2.00,STEM,BSIT,BSPsy,BSIT,BSCS,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,N/A,Disagree,Strongly Agree,Agree,Disagree,Agree,31-50,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Myself,Family,Agree,Disagree,No,Yes
Female,Second Year,1.51-2.00,STEM,BSA,BSA,BSBA_FM,BSBA_OM,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,31-50,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Myself,Family,Agree,Disagree,Yes,No
Female,Third Year,2.01-2.50,BAM,BSBA_FM,BSBA_FM,BS_ENTRE,BSBA_MM,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,51-70,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Myself,Family,Agree,Strongly Disagree,Yes,No
Female,First Year,N/A,BAM,BS_ENTRE,BSPsy,BSCS,BS_ENTRE,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,51-70,N/A,N/A,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Myself,Family,Agree,Disagree,No,Yes
Female,First Year,N/A,STEM,BSCHE,BSPsy,BSN,BSPT,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,N/A,N/A,N/A,N/A,Agree,Agree,Agree,Agree,31-50,N/A,N/A,Strongly Agree,N/A,N/A,N/A,Strongly Agree,Strongly Agree,Institution,Family,Agree,Agree,No,Yes
Male,First Year,N/A,BAM,BSCpE,BSCE,BSCpE,BSECE,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,51-70,N/A,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Family,Strongly Agree,Strongly Agree,Yes,No
Female,Second Year,1.51-2.00,STEM,BSCS,BSCS,BSCpE,BSCHE,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,N/A,31-50,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Myself,Family,Disagree,Strongly Disagree,Yes,No
Male,First Year,N/A,STEM,BSCpE,BSN,BSPT,BSCE,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,30-Oct,N/A,N/A,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Family,Family,Agree,Agree,No,No
Male,Third Year,1.51-2.00,TVL,BSIT,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,30-Oct,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Family,Family,Agree,Agree,No,No
