sex,year,current_course,gwa,strand,first_choice,second_choice,third_choice,decision_making1,decision_making2,decision_making3,decision_making4,decision_making5,decision_making6,decision_making7,decision_making8,personal_assessment1,personal_assessment2,personal_assessment3,course_environment1,course_environment2,course_environment3,course_environment4,course_environment5,course_satisfaction1,course_satisfaction2,course_satisfaction3,course_satisfaction4,academic_experience1,academic_experience2,academic_experience3,academic_experience4,academic_experience5,academic_experience6,academic_experience7,same_course,different_course
Female,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSCpE,BSCS,Agree,Disagree,Disagree,Agree,Agree,Agree,Myself,Relatives,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,No,No
Female,Third Year,BSIT,1.51-2.00,STEM,BSCS,BSIT,BSCpE,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Myself,Parents,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,31-50,Strongly Disagree,Agree,Agree,Strongly Agree,N/A,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Female,Fourth Year,BSIT,1.00-1.50,HESS,BSTM,BSHM,BAC,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Parents,Parents,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Male,Fifth Year,BSIT,1.00-1.50,STEM,BSCS,BSCpE,BSIT,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Yes,No
Female,Fifth Year,BSIT,1.51-2.00,STEM,BSIT,BSCE,BSCpE,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Myself,Siblings,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,31-50,N/A,N/A,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,Agree,N/A,No,Yes
Female,Second Year,BSIT,1.00-1.50,TVL,BSPsy,BSSW,BSIT,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Myself,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSTM,BAC,BSME,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Myself,Relatives,N/A,N/A,Strongly Disagree,Agree,N/A,Strongly Agree,Agree,31-50,Agree,N/A,Agree,N/A,Strongly Agree,Strongly Disagree,Agree,N/A,N/A,Agree,Disagree,Yes,Yes
Female,First Year,BSIT,N/A,STEM,BSCE,BSIT,BSME,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Parents,Siblings,Agree,Agree,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Agree,Disagree,N/A,N/A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,Yes,No
Female,Third Year,BSIT,1.00-1.50,STEM,BSEE,BSCS,BSIT,Agree,Agree,Agree,Agree,Agree,Agree,Myself,Relatives,Agree,Agree,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,No,Yes
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Myself,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,31-50,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Yes,No
