Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment5,Course_Environment2,Course_Environment3,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Same_Course,Different_Course
Male,Second Year,BSIT,TVL,BSIT,BSCS,BSN,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No
Male,Third Year,BSIT,BAM,BSIT,BSCpE,BSCS,Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Yes,No
Male,Third Year,BSBA_HRM,TVL,BSBA_HRM,BSBA_BE,BSHM,Strongly Agree,Myself,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes
Female,Third Year,BSBA_OM,BAM,BSPT,BSBA_HRM,BSHM,Strongly Agree,Myself,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Yes,No
Female,Third Year,BSCE,STEM,BSCE,BSN,BSPT,Agree,Myself,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,No,Yes
Male,Second Year,BSREM,HESS,BSN,BSME,BSTM,Strongly Agree,Myself,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,No,Yes
Female,First Year,BSMfgE,STEM,BSECE,BSCpE,BSMfgE,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,No,No
Male,Second Year,BSIT,TVL,BSCpE,BSIT,BSCS,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Yes,No
Male,Third Year,BSCpE,STEM,BSCE,BSCpE,BS_Arch,Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Yes,No
Female,Second Year,BSCHE,STEM,BSCHE,BSCE,BSChem,Strongly Agree,Myself,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Yes,No
